fine_dust,O3,region,heavy_metal,traffic,num_of_factories,num_of_power_plants,num_of_people,household_waste_discharge_per_person (kg/days),wind_speed,wind_direction,rainfall(mm),C,avg_O3,avg_fine_dust
0,1,강원도강릉시,0.9711,37.4,450 ,2,213321 ,1.3,6.295,64.02192,42.53333,14.6,0.035,38.83333333
0,1,강원도고성군,0.9711,38.4,81 ,0,26757 ,2.4,3.81,-27.4523,37.68333,13.2,0.035,34
0,0,강원도동해시,0.9711,36,257 ,4,90593 ,1.6,6.295,64.02192,32.91667,13.5,0.027,35.75
0,0,강원도삼척시,0.4728,35.9,107 ,2,65243 ,2.9,6.295,64.02192,32.91667,13.5,0.027,28
0,1,강원도속초시,0.9711,34.8,141 ,0,82665 ,1.4,6.295,-27.4523,37.68333,13.2,0.034,39.25
0,0,강원도양구군,0.9108,36.2,70 ,0,22278 ,1.6,3.81,-27.4523,51.7,11.4,0.029,40
0,1,강원도양양군,0.9711,35.5,99 ,0,27946 ,2.6,6.295,-27.4523,42.61667,14.6,0.037,33.4
0,0,강원도영월군,0.4728,36.8,148 ,0,38662 ,1.2,6.295,64.02192,43.41667,12.1,0.028,37.16666667
0,0,강원도원주시,0.7952,38.3,995 ,0,354376 ,1.3,6.295,64.02192,33.68333,13,0.024,42.33333333
0,1,강원도인제군,0.9108,38.9,86 ,0,31694 ,1.6,3.81,-27.4523,44.93333,11.4,0.032,34.83333333
0,1,강원도정선군,0.4728,37.4,94 ,0,36870 ,1.4,6.295,64.02192,49.25,11.4,0.036,41.83333333
1,1,강원도철원군,0.7122,37.3,110 ,0,44699 ,1.3,3.81,-27.4523,48.15,11.3,0.033,43.33333333
0,0,강원도춘천시,0.9108,37,549 ,0,282765 ,0.9,3.81,-27.4523,56.53333,12.4,0.026,43.2
0,1,강원도태백시,0.4728,41.4,91 ,0,42719 ,2.2,6.295,64.02192,42.61667,9.5,0.038,32.16666667
1,0,강원도평창군,0.4728,36.3,113 ,0,41681 ,2.1,6.295,64.02192,36.9,7.9,0.028,45
1,0,강원도홍천군,0.9108,40.9,165 ,0,69242 ,1.8,3.81,-27.4523,48.03333,11.8,0.022,47
0,0,강원도화천군,0.997,37.7,51 ,0,24857 ,2.1,3.81,-27.4523,51.7,12.4,0.028,37.4
0,0,강원도횡성군,0.9108,38.5,243 ,0,46472 ,1.5,6.295,64.02192,48.03333,13,0.02,42.83333333
0,0,경기도가평군,0.7122,38.4,152 ,0,62377 ,1.8,3.578333,-70.8791,49.3,12.4,0.026,42.83333333
1,0,경기도고양시,0.997,36.6,458 ,2,1079216 ,0.8,3.578333,-70.8791,51.93333,11.5,0.026,48.5
1,0,경기도과천시,0.9249,33.6,12 ,0,63231 ,1.6,3.901667,-27.1287,51.93333,13.7,0.021,51
1,0,경기도광명시,0.9249,35.8,650 ,0,298599 ,1.6,3.901667,-27.1287,44.61667,13.7,0.023,57.33333333
1,0,경기도광주시,0.903,45.8,2444 ,0,382054 ,0.7,3.901667,-27.1287,49.3,12.7,0.016,53.66666667
1,0,경기도구리시,0.903,37.4,107 ,0,197454 ,1,3.578333,-70.8791,51.93333,13.7,0.027,47.83333333
1,0,경기도군포시,0.903,38.8,1509 ,0,273791 ,0.5,3.901667,-27.1287,50.73333,13.4,0.023,49
